Position,TeamName,Herkunft,FIX
1,Agustiner,Deutschland Neuruppin,0
2,Blutgrätsche,Deutschland Lübeck,1
3,Cranium ex Machina,Deutschland Hamburg,0
4,Die Leere Menge,Deutschland Greifswald,1
5,Fischkoppkrieger,Deutschland Kiel,1
6,Fischkoppkrieger 2,Deutschland Kiel,0
7,GAG,Deutschland Berlin,0
8,Hutgruppe Nord,Deutschland Lübeck,1
9,Kamikaze Eulen,Deutschland Rethwisch,0
10,Likedeeler Rostock,Deutschland Rostock,1
11,Living Undeads,Deutschland Hannover,1
12,Nordische Sport Amatuere (NSA),Deutschland Flensburg,1
13,S.H.I.E.L.D,Deutschland Bundesweit,0
14,SpVgg Rasenschach,Deutschland Rethwisch,0
15,Torpedo Bääm!,Deutschland Hamburg,0
16,Victim,Deutschland Rethwisch,0
17,Wütende Tintenfische,Deutschland Kiel,0
18,Wadenbeisser,Deutschland Lübeck,1